{'Decanus': 42.72, 'Legatus legionis': 1.01, 'Decurion': 25.96, 'Centurion': 15.58, 'Praefectus castrorum': 5.8, 'Tribunus laticlavius': 1.92, 'Pilus prior': 8.2}
{'Gold Car Paint': 14.39, 'Red Car Paint': 14.81, 'Purple Car Paint': 14.39, 'Green Car Paint': 14.5, 'Black Car Paint': 14.68, 'Yellow Car Paint': 14.08, 'Blue Car Paint': 14.34}
{'Carbon Fiber': 11.55, 'Digital Camo': 7.92, 'MSMC Copper Matte': 8.08, 'TitaniumBlk': 12.17, 'Lambo Gold': 1.18, 'Cosmic Blue': 12.2, 'Matte Black': 12.62, 'Trippy Black/Red': 2.34, 'Trippy Yellow': 2.2, 'MSMC Copper Liquid': 7.85, 'Ice': 1.24, 'Holographic': 8.13, 'Lava': 2.33, 'Neon': 2.04, 'Hot Pink': 2.41, 'Trippy Red/Black': 2.38, 'Fire': 1.0, 'Electric': 1.17, 'Trippy Black/White': 2.38}
{'Guardian 1 / BASE': 42.03, 'Guardian 5 / WINGS': 5.59, 'Guardian 3': 16.57, 'Guardian 2': 25.45, 'Guardian 4': 11.55}
{'Daft Punk': 1.22, 'Green Eyes': 10.87, 'KILL Text': 6.22, 'X_X': 6.75, 'xD': 6.56, 'Blue Skull': 5.03, '$': 5.15, 'Blue Eyes': 10.37, 'Red Skull': 3.44, ':)': 6.57, 'o_o': 6.83, 'Heart': 7.24, 'SOL Symbol': 4.74, 'Mask': 2.31, 'Target': 2.44, 'Red Eyes': 10.76, 'Green Skull': 4.69}
1: Decanus, Gold Car Paint, Carbon Fiber, Guardian 1 / BASE, Daft Punk, No Weapon
7526: Decurion, Gold Car Paint, Digital Camo, Guardian 3, Red Eyes, Ice Katana
7527: Decurion, Gold Car Paint, TitaniumBlk, Guardian 2, Heart, Katana
7528: Decanus, Green Car Paint, Carbon Fiber, Guardian 3, xD, Ice Sniper
7529: Centurion, Green Car Paint, Cosmic Blue, Guardian 2, :), No Weapon
7530: Decanus, Red Car Paint, Carbon Fiber, Guardian 1 / BASE, xD, Sniper
7531: Centurion, Red Car Paint, Carbon Fiber, Guardian 3, KILL Text, No Weapon
7532: Praefectus castrorum, Purple Car Paint, MSMC Copper Matte, Guardian 1 / BASE, xD, No Weapon
7533: Decanus, Red Car Paint, Carbon Fiber, Guardian 4, Target, Katana
7534: Pilus prior, Black Car Paint, Matte Black, Guardian 3, X_X, No Weapon
7535: Praefectus castrorum, Gold Car Paint, Carbon Fiber, Guardian 1 / BASE, $, No Weapon
7536: Pilus prior, Purple Car Paint, Lava, Guardian 1 / BASE, o_o, No Weapon
7537: Decanus, Black Car Paint, Holographic, Guardian 1 / BASE, Green Eyes, Electric Katana
7538: Decanus, Yellow Car Paint, Digital Camo, Guardian 1 / BASE, :), Fire Sniper
7539: Decurion, Gold Car Paint, Holographic, Guardian 2, $, Ice Sniper
7540: Decurion, Green Car Paint, Hot Pink, Guardian 1 / BASE, Green Eyes, Flamethrower X
7541: Decanus, Gold Car Paint, Cosmic Blue, Guardian 3, X_X, Katana
7542: Centurion, Purple Car Paint, Matte Black, Guardian 1 / BASE, Mask, No Weapon
7543: Praefectus castrorum, Gold Car Paint, Trippy Black/Red, Guardian 1 / BASE, Green Eyes, Fire Katana
7544: Centurion, Gold Car Paint, Holographic, Guardian 5 / WINGS, X_X, No Weapon
7545: Decurion, Red Car Paint, Electric, Guardian 4, Blue Eyes, No Weapon
7546: Decanus, Blue Car Paint, Carbon Fiber, Guardian 2, Target, Katana
7547: Decanus, Green Car Paint, Cosmic Blue, Guardian 1 / BASE, $, Fire Katana
7548: Decanus, Green Car Paint, Carbon Fiber, Guardian 4, Green Eyes, No Weapon
7549: Pilus prior, Blue Car Paint, Matte Black, Guardian 2, Red Skull, No Weapon
7550: Decanus, Yellow Car Paint, Matte Black, Guardian 2, $, No Weapon
7551: Decanus, Gold Car Paint, MSMC Copper Liquid, Guardian 2, Green Skull, Fire Sniper
7552: Decanus, Blue Car Paint, Holographic, Guardian 2, Green Skull, No Weapon
7553: Decanus, Yellow Car Paint, MSMC Copper Matte, Guardian 4, Green Eyes, No Weapon
7554: Decanus, Purple Car Paint, MSMC Copper Matte, Guardian 2, :), Sniper
7555: Decurion, Purple Car Paint, MSMC Copper Matte, Guardian 2, Heart, No Weapon
7556: Decanus, Blue Car Paint, TitaniumBlk, Guardian 4, Daft Punk, Sniper
7557: Pilus prior, Purple Car Paint, MSMC Copper Liquid, Guardian 1 / BASE, $, Sniper
7558: Decurion, Yellow Car Paint, Matte Black, Guardian 1 / BASE, Red Eyes, Katana
7559: Praefectus castrorum, Gold Car Paint, MSMC Copper Matte, Guardian 1 / BASE, xD, Katana
7560: Centurion, Yellow Car Paint, Holographic, Guardian 3, Green Eyes, Fire Katana
7561: Decanus, Purple Car Paint, Digital Camo, Guardian 4, $, No Weapon
7562: Decanus, Gold Car Paint, Cosmic Blue, Guardian 1 / BASE, Red Eyes, Ice Sniper
7563: Praefectus castrorum, Gold Car Paint, TitaniumBlk, Guardian 3, Target, No Weapon
7564: Pilus prior, Red Car Paint, Hot Pink, Guardian 2, X_X, Ice Katana
7565: Centurion, Red Car Paint, Matte Black, Guardian 1 / BASE, Green Skull, No Weapon
7566: Decanus, Purple Car Paint, Holographic, Guardian 1 / BASE, KILL Text, Sniper
7567: Decurion, Yellow Car Paint, Lava, Guardian 2, Green Eyes, Ice Sniper
7568: Pilus prior, Red Car Paint, Carbon Fiber, Guardian 3, Red Eyes, No Weapon
7569: Decanus, Black Car Paint, TitaniumBlk, Guardian 3, Green Eyes, No Weapon
7570: Centurion, Green Car Paint, TitaniumBlk, Guardian 4, Red Eyes, No Weapon
7571: Decurion, Purple Car Paint, Carbon Fiber, Guardian 3, :), Sniper
7572: Decurion, Black Car Paint, Holographic, Guardian 4, Green Eyes, Katana
7573: Decanus, Gold Car Paint, Hot Pink, Guardian 1 / BASE, xD, Sniper
7574: Decurion, Purple Car Paint, Holographic, Guardian 2, KILL Text, No Weapon
7575: Decurion, Red Car Paint, Carbon Fiber, Guardian 1 / BASE, Blue Eyes, No Weapon
7576: Praefectus castrorum, Purple Car Paint, Cosmic Blue, Guardian 5 / WINGS, o_o, No Weapon
7577: Decurion, Green Car Paint, Digital Camo, Guardian 2, $, No Weapon
7578: Praefectus castrorum, Yellow Car Paint, Matte Black, Guardian 4, :), Katana
7579: Centurion, Blue Car Paint, MSMC Copper Liquid, Guardian 2, Red Eyes, Ice Sniper
7580: Centurion, Red Car Paint, Matte Black, Guardian 2, Blue Eyes, Fire Sniper
7581: Decanus, Gold Car Paint, MSMC Copper Liquid, Guardian 2, Blue Skull, Electric Katana
7582: Praefectus castrorum, Red Car Paint, Cosmic Blue, Guardian 1 / BASE, Heart, No Weapon
7583: Pilus prior, Purple Car Paint, Holographic, Guardian 1 / BASE, Green Eyes, Katana
7584: Decurion, Blue Car Paint, Cosmic Blue, Guardian 2, KILL Text, Electric Katana
7585: Decanus, Green Car Paint, Hot Pink, Guardian 3, Green Skull, Ice Sniper
7586: Decurion, Gold Car Paint, TitaniumBlk, Guardian 1 / BASE, KILL Text, No Weapon
7587: Centurion, Yellow Car Paint, Holographic, Guardian 5 / WINGS, Blue Eyes, Sniper
7588: Decanus, Green Car Paint, Matte Black, Guardian 2, KILL Text, Katana
7589: Centurion, Yellow Car Paint, Carbon Fiber, Guardian 2, X_X, No Weapon
7590: Decanus, Red Car Paint, Electric, Guardian 1 / BASE, Red Eyes, Electric Katana
7591: Pilus prior, Red Car Paint, Matte Black, Guardian 4, Blue Skull, No Weapon
7592: Pilus prior, Gold Car Paint, MSMC Copper Matte, Guardian 5 / WINGS, o_o, No Weapon
7593: Pilus prior, Red Car Paint, MSMC Copper Matte, Guardian 3, Blue Eyes, No Weapon
7594: Praefectus castrorum, Yellow Car Paint, Matte Black, Guardian 2, Green Skull, No Weapon
7595: Decurion, Green Car Paint, Cosmic Blue, Guardian 2, Target, No Weapon
7596: Decanus, Black Car Paint, Carbon Fiber, Guardian 1 / BASE, Blue Skull, Katana
7597: Decanus, Green Car Paint, Carbon Fiber, Guardian 1 / BASE, X_X, No Weapon
7598: Decanus, Yellow Car Paint, Hot Pink, Guardian 2, Heart, Ice Sniper
7599: Decurion, Black Car Paint, Trippy Red/Black, Guardian 2, :), Electric Katana
7600: Decurion, Blue Car Paint, Fire, Guardian 2, Red Eyes, Flamethrower X
7601: Centurion, Yellow Car Paint, Digital Camo, Guardian 4, Blue Eyes, Katana
7602: Decanus, Purple Car Paint, Holographic, Guardian 4, :), No Weapon
7603: Centurion, Yellow Car Paint, MSMC Copper Liquid, Guardian 1 / BASE, Daft Punk, Katana
7604: Decurion, Green Car Paint, Matte Black, Guardian 1 / BASE, Blue Eyes, No Weapon
7605: Decanus, Purple Car Paint, Carbon Fiber, Guardian 3, Heart, Sniper
7606: Decurion, Green Car Paint, Carbon Fiber, Guardian 1 / BASE, KILL Text, Electric Katana
7607: Decanus, Blue Car Paint, Digital Camo, Guardian 4, Red Eyes, No Weapon
7608: Centurion, Yellow Car Paint, TitaniumBlk, Guardian 4, Green Eyes, No Weapon
7609: Decanus, Purple Car Paint, Cosmic Blue, Guardian 4, Green Eyes, Katana
7610: Legatus legionis, Gold Car Paint, Holographic, Guardian 1 / BASE, Blue Eyes, Katana
7611: Praefectus castrorum, Green Car Paint, Cosmic Blue, Guardian 2, SOL Symbol, Electric Sniper
7612: Decanus, Black Car Paint, Ice, Guardian 2, :), Fire Katana
7613: Centurion, Green Car Paint, Cosmic Blue, Guardian 2, Green Eyes, No Weapon
7614: Pilus prior, Red Car Paint, Lambo Gold, Guardian 1 / BASE, Mask, Electric Sniper
7615: Decanus, Green Car Paint, MSMC Copper Matte, Guardian 3, Red Eyes, Katana
7616: Decurion, Purple Car Paint, Cosmic Blue, Guardian 3, Blue Eyes, No Weapon
7617: Centurion, Black Car Paint, Fire, Guardian 1 / BASE, Red Skull, No Weapon
7618: Decanus, Yellow Car Paint, Cosmic Blue, Guardian 1 / BASE, Blue Eyes, No Weapon
7619: Centurion, Yellow Car Paint, TitaniumBlk, Guardian 2, :), Ice Katana
7620: Centurion, Black Car Paint, MSMC Copper Liquid, Guardian 5 / WINGS, Blue Eyes, No Weapon
7621: Decurion, Purple Car Paint, MSMC Copper Matte, Guardian 3, KILL Text, Sniper
7622: Decanus, Green Car Paint, Digital Camo, Guardian 3, SOL Symbol, Ice Katana
7623: Decanus, Red Car Paint, Holographic, Guardian 3, Red Eyes, No Weapon
7624: Praefectus castrorum, Blue Car Paint, Holographic, Guardian 3, Blue Skull, No Weapon
7625: Centurion, Yellow Car Paint, MSMC Copper Liquid, Guardian 2, KILL Text, No Weapon
7626: Decurion, Yellow Car Paint, Holographic, Guardian 2, SOL Symbol, Katana
7627: Pilus prior, Purple Car Paint, Cosmic Blue, Guardian 2, Red Eyes, No Weapon
7628: Decurion, Green Car Paint, MSMC Copper Matte, Guardian 5 / WINGS, Green Eyes, No Weapon
7629: Decanus, Purple Car Paint, Digital Camo, Guardian 3, :), No Weapon
7630: Decanus, Black Car Paint, Ice, Guardian 4, Green Skull, Flamethrower X
7631: Decurion, Black Car Paint, Lava, Guardian 1 / BASE, Blue Skull, No Weapon
7632: Decurion, Blue Car Paint, Matte Black, Guardian 4, X_X, No Weapon
7633: Tribunus laticlavius, Red Car Paint, Carbon Fiber, Guardian 4, o_o, Katana
7634: Decurion, Green Car Paint, TitaniumBlk, Guardian 2, X_X, No Weapon
7635: Decurion, Blue Car Paint, Matte Black, Guardian 4, SOL Symbol, No Weapon
7636: Decanus, Blue Car Paint, Cosmic Blue, Guardian 1 / BASE, Blue Skull, No Weapon
7637: Decurion, Red Car Paint, Ice, Guardian 1 / BASE, SOL Symbol, Fire Sniper
7638: Decanus, Red Car Paint, Matte Black, Guardian 4, SOL Symbol, No Weapon
7639: Decanus, Purple Car Paint, Electric, Guardian 4, Green Eyes, No Weapon
7640: Centurion, Purple Car Paint, TitaniumBlk, Guardian 2, KILL Text, Katana
7641: Centurion, Red Car Paint, Carbon Fiber, Guardian 4, Green Eyes, Katana
7642: Decanus, Blue Car Paint, Trippy Red/Black, Guardian 1 / BASE, Red Skull, Electric Sniper
7643: Decurion, Green Car Paint, Matte Black, Guardian 2, KILL Text, No Weapon
7644: Decurion, Green Car Paint, TitaniumBlk, Guardian 3, Mask, No Weapon
7645: Praefectus castrorum, Red Car Paint, Fire, Guardian 2, Blue Eyes, No Weapon
7646: Decurion, Blue Car Paint, Holographic, Guardian 1 / BASE, Heart, No Weapon
7647: Praefectus castrorum, Gold Car Paint, TitaniumBlk, Guardian 2, Red Eyes, No Weapon
7648: Pilus prior, Black Car Paint, Matte Black, Guardian 2, $, No Weapon
7649: Pilus prior, Black Car Paint, Holographic, Guardian 1 / BASE, Red Eyes, Katana
7650: Decanus, Yellow Car Paint, Trippy Black/White, Guardian 4, Blue Skull, No Weapon
7651: Decurion, Red Car Paint, Digital Camo, Guardian 2, xD, No Weapon
7652: Decurion, Black Car Paint, TitaniumBlk, Guardian 1 / BASE, Blue Skull, No Weapon
7653: Decanus, Blue Car Paint, Matte Black, Guardian 2, KILL Text, Electric Katana
7654: Decurion, Black Car Paint, MSMC Copper Liquid, Guardian 1 / BASE, Red Eyes, No Weapon
7655: Decurion, Red Car Paint, Carbon Fiber, Guardian 3, o_o, Electric Katana
7656: Decanus, Blue Car Paint, TitaniumBlk, Guardian 1 / BASE, Green Skull, Katana
7657: Praefectus castrorum, Gold Car Paint, TitaniumBlk, Guardian 1 / BASE, Target, Sniper
7658: Decurion, Green Car Paint, MSMC Copper Liquid, Guardian 3, o_o, No Weapon
7659: Pilus prior, Black Car Paint, Carbon Fiber, Guardian 3, KILL Text, Elemental Katana X
7660: Praefectus castrorum, Purple Car Paint, Matte Black, Guardian 1 / BASE, :), No Weapon
7661: Decanus, Purple Car Paint, Digital Camo, Guardian 2, o_o, Sniper
7662: Decanus, Purple Car Paint, Ice, Guardian 1 / BASE, KILL Text, Sniper
7663: Decanus, Blue Car Paint, Fire, Guardian 4, $, No Weapon
7664: Decanus, Yellow Car Paint, Matte Black, Guardian 2, Blue Eyes, No Weapon
7665: Decanus, Green Car Paint, Cosmic Blue, Guardian 2, KILL Text, Elemental Katana X
7666: Decanus, Blue Car Paint, TitaniumBlk, Guardian 4, X_X, No Weapon
7667: Decurion, Purple Car Paint, MSMC Copper Liquid, Guardian 3, Green Skull, No Weapon
7668: Decurion, Gold Car Paint, Cosmic Blue, Guardian 2, KILL Text, No Weapon
7669: Centurion, Green Car Paint, MSMC Copper Liquid, Guardian 1 / BASE, X_X, No Weapon
7670: Decurion, Black Car Paint, Trippy Yellow, Guardian 1 / BASE, :), Sniper
7671: Centurion, Blue Car Paint, Cosmic Blue, Guardian 1 / BASE, SOL Symbol, No Weapon
7672: Decanus, Yellow Car Paint, Cosmic Blue, Guardian 2, :), No Weapon
7673: Pilus prior, Gold Car Paint, Holographic, Guardian 1 / BASE, Green Eyes, Ice Katana
7674: Decanus, Green Car Paint, MSMC Copper Liquid, Guardian 1 / BASE, Green Eyes, No Weapon
7675: Decurion, Blue Car Paint, Trippy Black/White, Guardian 2, Heart, No Weapon
7676: Decanus, Red Car Paint, Carbon Fiber, Guardian 4, $, No Weapon
7677: Decanus, Purple Car Paint, Cosmic Blue, Guardian 4, X_X, Fire Katana
7678: Decurion, Green Car Paint, MSMC Copper Matte, Guardian 1 / BASE, Green Eyes, No Weapon
7679: Decanus, Yellow Car Paint, Digital Camo, Guardian 2, Blue Eyes, Sniper
7680: Decurion, Red Car Paint, Carbon Fiber, Guardian 3, SOL Symbol, Ice Sniper
7681: Decurion, Black Car Paint, Cosmic Blue, Guardian 1 / BASE, Green Skull, No Weapon
7682: Tribunus laticlavius, Purple Car Paint, MSMC Copper Matte, Guardian 1 / BASE, Blue Skull, Katana
7683: Tribunus laticlavius, Gold Car Paint, Trippy Black/White, Guardian 1 / BASE, Green Skull, No Weapon
7684: Centurion, Gold Car Paint, Cosmic Blue, Guardian 2, :), No Weapon
7685: Praefectus castrorum, Green Car Paint, Carbon Fiber, Guardian 4, SOL Symbol, No Weapon
7686: Praefectus castrorum, Black Car Paint, Matte Black, Guardian 2, :), Katana
7687: Decurion, Purple Car Paint, Cosmic Blue, Guardian 2, o_o, Katana
7688: Decanus, Green Car Paint, Fire, Guardian 1 / BASE, Blue Eyes, Sniper
7689: Tribunus laticlavius, Blue Car Paint, TitaniumBlk, Guardian 1 / BASE, :), Sniper
7690: Decanus, Red Car Paint, Carbon Fiber, Guardian 2, Blue Eyes, Katana
7691: Decanus, Gold Car Paint, MSMC Copper Matte, Guardian 2, Blue Eyes, Katana
7692: Decurion, Blue Car Paint, Digital Camo, Guardian 2, Heart, No Weapon
7693: Decanus, Black Car Paint, Cosmic Blue, Guardian 4, Daft Punk, No Weapon
7694: Decurion, Green Car Paint, Cosmic Blue, Guardian 3, Green Eyes, No Weapon
7695: Decurion, Gold Car Paint, Matte Black, Guardian 2, Blue Eyes, Sniper
7696: Decurion, Purple Car Paint, Carbon Fiber, Guardian 4, Blue Eyes, Sniper
7697: Decurion, Black Car Paint, MSMC Copper Liquid, Guardian 4, xD, No Weapon
7698: Decurion, Blue Car Paint, Carbon Fiber, Guardian 3, Red Eyes, No Weapon
7699: Praefectus castrorum, Blue Car Paint, Digital Camo, Guardian 2, X_X, No Weapon
7700: Centurion, Yellow Car Paint, MSMC Copper Liquid, Guardian 3, Red Skull, Electric Katana
7701: Centurion, Purple Car Paint, TitaniumBlk, Guardian 1 / BASE, Red Skull, No Weapon
7702: Decanus, Purple Car Paint, Cosmic Blue, Guardian 4, Blue Eyes, No Weapon
7703: Decanus, Red Car Paint, MSMC Copper Matte, Guardian 4, X_X, No Weapon
7704: Decurion, Black Car Paint, Matte Black, Guardian 2, o_o, No Weapon
7705: Pilus prior, Black Car Paint, MSMC Copper Liquid, Guardian 4, Heart, No Weapon
7706: Centurion, Gold Car Paint, Digital Camo, Guardian 1 / BASE, xD, Ice Sniper
7707: Decanus, Yellow Car Paint, Holographic, Guardian 2, X_X, Elemental Katana X
7708: Centurion, Yellow Car Paint, Digital Camo, Guardian 4, Blue Eyes, Sniper
7709: Decanus, Blue Car Paint, MSMC Copper Matte, Guardian 1 / BASE, Blue Eyes, No Weapon
7710: Decanus, Blue Car Paint, Lava, Guardian 2, Blue Skull, No Weapon
7711: Decurion, Purple Car Paint, Carbon Fiber, Guardian 3, Heart, No Weapon
7712: Decanus, Gold Car Paint, MSMC Copper Matte, Guardian 1 / BASE, SOL Symbol, Sniper
7713: Decurion, Red Car Paint, Carbon Fiber, Guardian 3, SOL Symbol, Sniper
7714: Decanus, Red Car Paint, MSMC Copper Liquid, Guardian 3, o_o, Katana
7715: Decanus, Gold Car Paint, Digital Camo, Guardian 2, :), No Weapon
7716: Decanus, Gold Car Paint, MSMC Copper Matte, Guardian 1 / BASE, Red Eyes, No Weapon
7717: Decanus, Blue Car Paint, Carbon Fiber, Guardian 4, Blue Eyes, No Weapon
7718: Centurion, Purple Car Paint, Carbon Fiber, Guardian 2, xD, No Weapon
7719: Praefectus castrorum, Yellow Car Paint, TitaniumBlk, Guardian 1 / BASE, Heart, No Weapon
7720: Pilus prior, Black Car Paint, MSMC Copper Matte, Guardian 3, Target, No Weapon
7721: Decanus, Purple Car Paint, Trippy Yellow, Guardian 4, Red Skull, Electric Sniper
7722: Decanus, Yellow Car Paint, TitaniumBlk, Guardian 2, KILL Text, Ice Sniper
7723: Decurion, Blue Car Paint, TitaniumBlk, Guardian 2, Blue Eyes, No Weapon
7724: Decanus, Gold Car Paint, Cosmic Blue, Guardian 2, Heart, No Weapon
7725: Decanus, Gold Car Paint, Cosmic Blue, Guardian 1 / BASE, o_o, No Weapon
7726: Decurion, Yellow Car Paint, TitaniumBlk, Guardian 5 / WINGS, :), No Weapon
7727: Decurion, Green Car Paint, MSMC Copper Liquid, Guardian 1 / BASE, :), Electric Sniper
7728: Decanus, Gold Car Paint, TitaniumBlk, Guardian 5 / WINGS, Green Eyes, No Weapon
7729: Decurion, Purple Car Paint, Carbon Fiber, Guardian 2, KILL Text, No Weapon
7730: Decurion, Black Car Paint, TitaniumBlk, Guardian 3, Blue Eyes, No Weapon
7731: Decanus, Yellow Car Paint, Carbon Fiber, Guardian 2, Blue Eyes, No Weapon
7732: Decanus, Blue Car Paint, MSMC Copper Matte, Guardian 5 / WINGS, Red Eyes, No Weapon
7733: Praefectus castrorum, Gold Car Paint, Trippy Red/Black, Guardian 2, o_o, Fire Sniper
7734: Decanus, Gold Car Paint, Carbon Fiber, Guardian 2, :), Sniper
7735: Decanus, Gold Car Paint, Trippy Black/White, Guardian 2, KILL Text, No Weapon
7736: Decanus, Black Car Paint, Carbon Fiber, Guardian 1 / BASE, Blue Eyes, Sniper
7737: Pilus prior, Blue Car Paint, TitaniumBlk, Guardian 2, Heart, Katana
7738: Centurion, Red Car Paint, MSMC Copper Liquid, Guardian 2, Blue Eyes, Sniper
7739: Pilus prior, Red Car Paint, TitaniumBlk, Guardian 3, Mask, Sniper
7740: Tribunus laticlavius, Black Car Paint, Matte Black, Guardian 1 / BASE, o_o, No Weapon
7741: Pilus prior, Blue Car Paint, MSMC Copper Liquid, Guardian 2, Heart, Sniper
7742: Centurion, Yellow Car Paint, Matte Black, Guardian 4, Red Eyes, No Weapon
7743: Decurion, Black Car Paint, Hot Pink, Guardian 4, Red Eyes, Fire Sniper
7744: Decurion, Green Car Paint, Trippy Red/Black, Guardian 2, $, No Weapon
7745: Decanus, Yellow Car Paint, Carbon Fiber, Guardian 4, :), Katana
7746: Pilus prior, Purple Car Paint, TitaniumBlk, Guardian 1 / BASE, Blue Eyes, Katana
7747: Decanus, Yellow Car Paint, Carbon Fiber, Guardian 4, Heart, Fire Sniper
7748: Praefectus castrorum, Gold Car Paint, MSMC Copper Matte, Guardian 1 / BASE, Blue Eyes, No Weapon
7749: Decanus, Yellow Car Paint, Cosmic Blue, Guardian 1 / BASE, o_o, Fire Katana
7750: Legatus legionis, Red Car Paint, Matte Black, Guardian 2, Red Eyes, Sniper
7751: Decurion, Black Car Paint, Matte Black, Guardian 3, Mask, No Weapon
7752: Pilus prior, Red Car Paint, Electric, Guardian 2, o_o, No Weapon
7753: Centurion, Yellow Car Paint, TitaniumBlk, Guardian 5 / WINGS, Target, No Weapon
7754: Centurion, Red Car Paint, Cosmic Blue, Guardian 2, X_X, No Weapon
7755: Decanus, Black Car Paint, Trippy Red/Black, Guardian 3, Target, Katana
7756: Praefectus castrorum, Blue Car Paint, TitaniumBlk, Guardian 2, Red Eyes, No Weapon
7757: Decanus, Yellow Car Paint, Trippy Yellow, Guardian 1 / BASE, $, No Weapon
7758: Decurion, Yellow Car Paint, Ice, Guardian 3, Green Eyes, Katana
7759: Decanus, Green Car Paint, Matte Black, Guardian 4, Daft Punk, No Weapon
7760: Legatus legionis, Red Car Paint, TitaniumBlk, Guardian 1 / BASE, o_o, No Weapon
7761: Decurion, Green Car Paint, MSMC Copper Matte, Guardian 2, Heart, No Weapon
7762: Praefectus castrorum, Red Car Paint, Cosmic Blue, Guardian 1 / BASE, KILL Text, No Weapon
7763: Decanus, Green Car Paint, Carbon Fiber, Guardian 2, X_X, No Weapon
7764: Decurion, Red Car Paint, Matte Black, Guardian 2, Target, No Weapon
7765: Praefectus castrorum, Blue Car Paint, TitaniumBlk, Guardian 3, Blue Skull, Fire Katana
7766: Decurion, Black Car Paint, Lambo Gold, Guardian 2, xD, No Weapon
7767: Praefectus castrorum, Yellow Car Paint, Trippy Yellow, Guardian 1 / BASE, Blue Skull, Ice Katana
7768: Decanus, Black Car Paint, Trippy Black/Red, Guardian 2, Green Eyes, Fire Sniper
7769: Centurion, Green Car Paint, Carbon Fiber, Guardian 1 / BASE, X_X, Fire Sniper
7770: Pilus prior, Red Car Paint, MSMC Copper Liquid, Guardian 5 / WINGS, Mask, No Weapon
7771: Praefectus castrorum, Blue Car Paint, TitaniumBlk, Guardian 1 / BASE, Green Eyes, Sniper
7772: Decurion, Black Car Paint, Cosmic Blue, Guardian 4, Red Skull, No Weapon
7773: Centurion, Gold Car Paint, Trippy Black/White, Guardian 1 / BASE, Blue Eyes, Katana
7774: Decanus, Purple Car Paint, Cosmic Blue, Guardian 1 / BASE, Red Eyes, Fire Katana
7775: Decanus, Gold Car Paint, MSMC Copper Matte, Guardian 1 / BASE, Blue Skull, No Weapon
7776: Decurion, Purple Car Paint, Cosmic Blue, Guardian 1 / BASE, X_X, No Weapon
7777: Decurion, Purple Car Paint, TitaniumBlk, Guardian 2, Green Skull, Ice Sniper
7778: Praefectus castrorum, Gold Car Paint, Hot Pink, Guardian 2, Green Eyes, Katana
7779: Centurion, Blue Car Paint, Holographic, Guardian 3, Heart, No Weapon
7780: Decanus, Yellow Car Paint, Lava, Guardian 1 / BASE, Heart, No Weapon
7781: Pilus prior, Green Car Paint, Cosmic Blue, Guardian 2, o_o, Katana
7782: Decurion, Green Car Paint, Digital Camo, Guardian 2, Mask, No Weapon
7783: Pilus prior, Red Car Paint, Digital Camo, Guardian 2, Green Skull, No Weapon
7784: Decurion, Blue Car Paint, Cosmic Blue, Guardian 1 / BASE, Red Eyes, No Weapon
7785: Decanus, Yellow Car Paint, Cosmic Blue, Guardian 1 / BASE, Blue Skull, Sniper
7786: Praefectus castrorum, Red Car Paint, Matte Black, Guardian 2, Green Eyes, Sniper
7787: Decanus, Green Car Paint, Fire, Guardian 2, :), Sniper
7788: Decanus, Blue Car Paint, Carbon Fiber, Guardian 1 / BASE, Green Eyes, Katana
7789: Decurion, Red Car Paint, Matte Black, Guardian 3, o_o, Sniper
7790: Decurion, Black Car Paint, Carbon Fiber, Guardian 4, Green Eyes, Katana
7791: Decurion, Red Car Paint, Cosmic Blue, Guardian 1 / BASE, Red Eyes, No Weapon
7792: Decanus, Red Car Paint, MSMC Copper Matte, Guardian 3, Green Eyes, Sniper
7793: Decurion, Gold Car Paint, Cosmic Blue, Guardian 1 / BASE, SOL Symbol, No Weapon
7794: Decurion, Blue Car Paint, Digital Camo, Guardian 3, :), Katana
7795: Decurion, Yellow Car Paint, Matte Black, Guardian 2, Mask, Sniper
7796: Decanus, Green Car Paint, Matte Black, Guardian 3, X_X, No Weapon
7797: Decanus, Gold Car Paint, TitaniumBlk, Guardian 1 / BASE, Green Eyes, Ice Katana
7798: Tribunus laticlavius, Green Car Paint, Carbon Fiber, Guardian 1 / BASE, Heart, No Weapon
7799: Decanus, Gold Car Paint, Neon, Guardian 3, o_o, Fire Katana
7800: Decanus, Purple Car Paint, MSMC Copper Matte, Guardian 3, $, Electric Katana
7801: Pilus prior, Purple Car Paint, Digital Camo, Guardian 1 / BASE, Green Eyes, No Weapon
7802: Decanus, Blue Car Paint, TitaniumBlk, Guardian 3, Blue Eyes, No Weapon
7803: Decanus, Gold Car Paint, Cosmic Blue, Guardian 1 / BASE, KILL Text, No Weapon
7804: Centurion, Blue Car Paint, MSMC Copper Matte, Guardian 1 / BASE, $, No Weapon
7805: Decanus, Red Car Paint, Holographic, Guardian 2, Green Skull, Sniper
7806: Decanus, Yellow Car Paint, Holographic, Guardian 1 / BASE, KILL Text, No Weapon
7807: Decurion, Red Car Paint, Matte Black, Guardian 1 / BASE, xD, Sniper
7808: Decanus, Purple Car Paint, Digital Camo, Guardian 3, Green Skull, No Weapon
7809: Decanus, Black Car Paint, Trippy Black/White, Guardian 1 / BASE, Daft Punk, No Weapon
7810: Centurion, Blue Car Paint, Cosmic Blue, Guardian 4, Green Eyes, Katana
7811: Decanus, Blue Car Paint, MSMC Copper Liquid, Guardian 4, KILL Text, Electric Katana
7812: Decanus, Blue Car Paint, Holographic, Guardian 5 / WINGS, Green Eyes, Fire Sniper
